Sbj,E,EA,AE,AEA
FM011,69.51183971,140.9103943,-203.1001821,250.2727273
FM012,200.9891068,149.4910394,-154.8637993,21.48427673
FM013,125.9740741,198.1375661,-5.365079365,160.9042146
FM014,163.9749104,192.031746,87.61199295,-80.17777778
FM015,98.62007168,132.2867384,-163.1971326,-38.37742504
FM016,67.70114943,104.6740741,-38.99453552,-8.026143791
FM017,111.8251366,206.7266314,116.3703704,189.3261649
FM018,91.54850088,105.4814815,70.53046595,198.8042328
FM019,173.1971326,254.8395062,-99.9337232,-77.73251029
FM020,211.1182796,263.0819672,-191.4761905,158.4363636
FM027,216.1433692,261.0546737,101.5626102,169.7213404
FM028,145.5591398,114.0917108,66.60670194,98.44802867
FM029,142.298725,219.3620072,115.2258065,209.5883424
FM030,146.1612903,252.4973545,114.7372134,246.9175627
FM031,142.0176367,299.154827,287.7514124,255.5057471
FM037,188.8743169,250.1541219,162.3280423,238.3763441
FM038,118.3691149,217.2185185,0.860215054,253.6738351
FM039,153.3962963,-318.9029982,-297.2169312,-114.4126984
FM040,101.7413479,174.5961199,-3.835125448,53.97660819
FM041,167.7383513,274.2328042,125.9784946,157.762963
